State,University,City,Segment,Slug
"Andhra Pradesh","Annamacharya University","Tirupati","normal","annamacharya-university"
"Andhra Pradesh","Bharatiya Engineering Science and Technology Innovation University","Anantapur","normal","bharatiya-engineering-science-and-technology-innovation-university"
"Andhra Pradesh","KREA University","Chittoor","normal","krea-university"
"Andhra Pradesh","Mohan Babu University","Tirupati","normal","mohan-babu-university"
"Andhra Pradesh","Saveetha Amaravati University","Vijayawada","normal","saveetha-amaravati-university"
"Andhra Pradesh","SRM University (Amaravati)","Guntur","normal","srm-university-amaravati"
"Andhra Pradesh","The Apollo University","Chittoor","normal","the-apollo-university"
"Andhra Pradesh","Vasireddy Venkatadri International Technological University","Guntur","normal","vasireddy-venkatadri-international-technological-university"
"Andhra Pradesh","Veltech University","Tirupati","normal","veltech-university"
"Andhra Pradesh","VIT-AP University","Amaravati","normal","vit-ap-university"
"Gujarat","Indrashil University","Ahmedabad","normal","indrashil-university"
"Gujarat","Indus University","Ahmedabad","normal","indus-university"
"Gujarat","Institute of Advanced Research","Gandhinagar","normal","institute-of-advanced-research"
"Gujarat","Rai University","Ahmedabad","normal","rai-university"
"Gujarat","Rajju Shroff Rofel University (RSRU)","Vapi","normal","rajju-shroff-rofel-university-rsru"
"Gujarat","RK University","Rajkot","normal","rk-university"
"Gujarat","Sabarmati University","Ahmedabad","normal","sabarmati-university"
"Gujarat","Sankalchand Patel University","Visnagar","normal","sankalchand-patel-university"
"Gujarat","Sardar Vallabhbhai Global University","Ahmedabad","normal","sardar-vallabhbhai-global-university"
"Gujarat","Sarvajanik University","Surat","normal","sarvajanik-university"
"Gujarat","Shreyarth University","Ahmedabad","normal","shreyarth-university"
"Gujarat","Sigma University","Vadodara","normal","sigma-university"
"Gujarat","Silver Oak University","Ahmedabad","normal","silver-oak-university"
"Gujarat","SKIPS University","Ahmedabad","normal","skips-university"
"Gujarat","Surendranagar University","Wadhwan","normal","surendranagar-university"
"Gujarat","Swaminarayan University","Kalol","normal","swaminarayan-university"
"Gujarat","Swarnim Startup & Innovation University","Gandhinagar","normal","swarnim-startup-innovation-university"
"Gujarat","Team Lease Skills University","Vadodara","normal","team-lease-skills-university"
"Haryana","Lingaya's Vidyapeeth","Faridabad","normal","lingayas-vidyapeeth"
"Haryana","Maharishi Markandeshwar (Deemed to be University)","Ambala","normal","maharishi-markandeshwar-deemed-to-be-university"
"Haryana","Manav Rachna International Institute of Research and Studies","Faridabad","normal","manav-rachna-international-institute-of-research-and-studies"
"Haryana","National Brain Research Centre","Gurgaon","normal","national-brain-research-centre"
"Haryana","National Dairy Research Institute","Karnal","normal","national-dairy-research-institute"
"Jharkhand","AISECT University","Hazaribagh","normal","aisect-university"
"Jharkhand","Arka Jain University","Jamshedpur (Gamharia, Seraikela-Kharsawan)","normal","arka-jain-university"
